ticks,seconds,battles
69,3.45,2
75,3.75,1
80,4.00,3
82,4.10,1
84,4.20,1
85,4.25,2
89,4.45,1
97,4.85,4
99,4.95,18
101,5.05,37
103,5.15,22
104,5.20,1
105,5.25,1
106,5.30,10
107,5.35,10
108,5.40,1
109,5.45,7
111,5.55,2
112,5.60,1
113,5.65,1
115,5.75,2
117,5.85,4
120,6.00,1
121,6.05,3
122,6.10,1
123,6.15,1
124,6.20,7
125,6.25,3
126,6.30,8
127,6.35,6
128,6.40,1
129,6.45,1
130,6.50,5
131,6.55,4
133,6.65,4
134,6.70,3
135,6.75,4
136,6.80,9
137,6.85,39
139,6.95,2
140,7.00,1
141,7.05,25
142,7.10,3
143,7.15,1
144,7.20,1
145,7.25,35
148,7.40,75
149,7.45,4
150,7.50,3
151,7.55,74
152,7.60,1
153,7.65,1
154,7.70,2
155,7.75,26
156,7.80,3
157,7.85,2
158,7.90,12
159,7.95,4
160,8.00,91
161,8.05,2
162,8.10,2
163,8.15,17
164,8.20,2
165,8.25,12
166,8.30,5
167,8.35,6
168,8.40,4
169,8.45,16
170,8.50,8
171,8.55,71
172,8.60,1
173,8.65,1
174,8.70,4
175,8.75,5
176,8.80,71
177,8.85,10
178,8.90,2
179,8.95,4
180,9.00,2
181,9.05,2
182,9.10,8
183,9.15,5
184,9.20,7
186,9.30,8
187,9.35,5
188,9.40,6
189,9.45,2
190,9.50,34
191,9.55,9
192,9.60,4
193,9.65,60
194,9.70,1
195,9.75,21
196,9.80,3
197,9.85,104
198,9.90,2
199,9.95,14
200,10.00,5
201,10.05,124
202,10.10,26
203,10.15,39
204,10.20,8
205,10.25,107
206,10.30,10
207,10.35,7
208,10.40,8
209,10.45,4
210,10.50,2
211,10.55,82
212,10.60,6
213,10.65,5
214,10.70,5
215,10.75,3
216,10.80,8
217,10.85,33
218,10.90,5
219,10.95,8
220,11.00,8
221,11.05,5
222,11.10,2
223,11.15,7
224,11.20,3
225,11.25,10
226,11.30,30
227,11.35,4
228,11.40,5
229,11.45,9
230,11.50,6
231,11.55,8
232,11.60,19
233,11.65,4
234,11.70,4
235,11.75,7
236,11.80,8
237,11.85,11
238,11.90,7
239,11.95,118
240,12.00,115
241,12.05,66
242,12.10,5
243,12.15,7
244,12.20,37
245,12.25,8
246,12.30,179
247,12.35,55
248,12.40,6
249,12.45,7
250,12.50,3
251,12.55,149
252,12.60,6
253,12.65,34
254,12.70,7
255,12.75,10
256,12.80,6
257,12.85,4
258,12.90,4
259,12.95,8
260,13.00,19
261,13.05,15
262,13.10,9
263,13.15,9
264,13.20,8
265,13.25,16
266,13.30,16
267,13.35,10
268,13.40,5
269,13.45,32
270,13.50,11
271,13.55,39
272,13.60,3
273,13.65,92
274,13.70,9
275,13.75,3
276,13.80,35
277,13.85,11
278,13.90,8
279,13.95,5
280,14.00,6
281,14.05,72
282,14.10,4
283,14.15,5
284,14.20,10
285,14.25,6
286,14.30,3
287,14.35,10
288,14.40,9
289,14.45,80
290,14.50,1
291,14.55,41
292,14.60,8
293,14.65,6
294,14.70,3
295,14.75,123
296,14.80,1
297,14.85,10
298,14.90,34
299,14.95,5
300,15.00,18
301,15.05,122
302,15.10,21
303,15.15,7
304,15.20,8
305,15.25,8
306,15.30,8
307,15.35,98
308,15.40,7
309,15.45,8
310,15.50,5
311,15.55,5
312,15.60,7
313,15.65,5
314,15.70,7
315,15.75,6
316,15.80,100
317,15.85,3
318,15.90,5
319,15.95,6
320,16.00,84
321,16.05,6
322,16.10,5
323,16.15,4
324,16.20,11
325,16.25,36
326,16.30,38
327,16.35,4
328,16.40,6
329,16.45,18
330,16.50,8
331,16.55,35
332,16.60,7
333,16.65,6
334,16.70,12
335,16.75,39
336,16.80,60
337,16.85,91
338,16.90,11
339,16.95,10
340,17.00,7
341,17.05,84
342,17.10,7
343,17.15,8
344,17.20,85
345,17.25,11
346,17.30,9
347,17.35,2
348,17.40,10
349,17.45,5
350,17.50,9
351,17.55,166
352,17.60,36
353,17.65,10
354,17.70,3
355,17.75,2
356,17.80,3
357,17.85,5
358,17.90,5
359,17.95,12
360,18.00,5
361,18.05,6
362,18.10,13
363,18.15,7
364,18.20,7
365,18.25,14
366,18.30,6
367,18.35,5
368,18.40,6
369,18.45,4
370,18.50,15
371,18.55,12
372,18.60,11
373,18.65,4
374,18.70,5
375,18.75,77
376,18.80,66
377,18.85,7
378,18.90,8
379,18.95,42
380,19.00,8
381,19.05,3
382,19.10,7
383,19.15,2
384,19.20,9
385,19.25,45
386,19.30,66
387,19.35,5
388,19.40,14
390,19.50,1
391,19.55,5
392,19.60,4
393,19.65,97
394,19.70,5
395,19.75,5
396,19.80,7
397,19.85,11
398,19.90,3
399,19.95,6
400,20.00,42
401,20.05,84
402,20.10,2
403,20.15,49
404,20.20,9
405,20.25,8
406,20.30,20
407,20.35,5
408,20.40,6
409,20.45,64
410,20.50,6
411,20.55,15
412,20.60,10
413,20.65,3
414,20.70,7
415,20.75,7
416,20.80,7
417,20.85,52
418,20.90,7
419,20.95,6
420,21.00,2
421,21.05,54
422,21.10,7
423,21.15,5
424,21.20,16
425,21.25,6
426,21.30,23
427,21.35,3
428,21.40,5
429,21.45,6
430,21.50,8
431,21.55,14
432,21.60,5
