parent_id,parent_name,parent_tier,option_id,option_name,samples,win_rate,gap_pp,gap_margin_pp,over_limit
unit.alpha_howler,Alpha Howler,2,unit.primal_avatar,Primal Avatar,150,0.6067,18.67,10.15,yes
unit.alpha_howler,Alpha Howler,2,unit.verdant_colossus,Verdant Colossus,150,0.7933,18.67,10.15,yes
unit.blade_dancer,Blade Dancer,2,unit.sovereign_engine,Sovereign Engine,150,0.6733,5.33,10.35,no
unit.blade_dancer,Blade Dancer,2,unit.titan_of_the_forge,Titan of the Forge,150,0.7267,5.33,10.35,no
unit.bone_acolyte,Bone Acolyte,1,unit.crypt_weaver,Crypt Weaver,150,0.4533,1.33,11.28,no
unit.bone_acolyte,Bone Acolyte,1,unit.rot_knight,Rot Knight,150,0.4667,1.33,11.28,no
unit.bramble_stalker,Bramble Stalker,2,unit.primal_avatar,Primal Avatar,150,0.6333,18.67,9.86,yes
unit.bramble_stalker,Bramble Stalker,2,unit.verdant_colossus,Verdant Colossus,150,0.8200,18.67,9.86,yes
unit.crypt_weaver,Crypt Weaver,2,unit.lich_regent,Lich Regent,150,0.6333,0.67,10.88,no
unit.crypt_weaver,Crypt Weaver,2,unit.void_sovereign,Void Sovereign,150,0.6400,0.67,10.88,no
unit.dire_pup,Dire Pup,1,unit.alpha_howler,Alpha Howler,150,0.4467,7.33,11.28,no
unit.dire_pup,Dire Pup,1,unit.moss_warden,Moss Warden,150,0.5200,7.33,11.28,no
unit.ember_magus,Ember Magus,2,unit.archon_of_ash,Archon of Ash,150,0.6433,3.67,10.95,no
unit.ember_magus,Ember Magus,2,unit.void_sovereign,Void Sovereign,150,0.6067,3.67,10.95,no
unit.forge_apprentice,Forge Apprentice,1,unit.blade_dancer,Blade Dancer,150,0.4467,0.67,11.26,no
unit.forge_apprentice,Forge Apprentice,1,unit.gear_artificer,Gear Artificer,150,0.4533,0.67,11.26,no
unit.gear_artificer,Gear Artificer,2,unit.primal_avatar,Primal Avatar,150,0.6333,16.67,10.02,yes
unit.gear_artificer,Gear Artificer,2,unit.titan_of_the_forge,Titan of the Forge,150,0.8000,16.67,10.02,yes
unit.grave_rat,Grave Rat,1,unit.crypt_weaver,Crypt Weaver,150,0.3733,2.00,11.00,no
unit.grave_rat,Grave Rat,1,unit.plague_hound,Plague Hound,150,0.3933,2.00,11.00,no
unit.iron_bulwark,Iron Bulwark,2,unit.sovereign_engine,Sovereign Engine,150,0.6300,11.67,10.40,yes
unit.iron_bulwark,Iron Bulwark,2,unit.titan_of_the_forge,Titan of the Forge,150,0.7467,11.67,10.40,yes
unit.moss_warden,Moss Warden,2,unit.bone_leviathan,Bone Leviathan,150,0.8067,4.00,8.56,no
unit.moss_warden,Moss Warden,2,unit.verdant_colossus,Verdant Colossus,150,0.8467,4.00,8.56,no
unit.plague_hound,Plague Hound,2,unit.bone_leviathan,Bone Leviathan,150,0.7600,23.67,10.52,yes
unit.plague_hound,Plague Hound,2,unit.lich_regent,Lich Regent,150,0.5233,23.67,10.52,yes
unit.rot_knight,Rot Knight,2,unit.bone_leviathan,Bone Leviathan,150,0.8033,25.67,10.19,yes
unit.rot_knight,Rot Knight,2,unit.lich_regent,Lich Regent,150,0.5467,25.67,10.19,yes
unit.rune_scribe,Rune Scribe,1,unit.sigil_adept,Sigil Adept,150,0.4933,3.67,11.29,no
unit.rune_scribe,Rune Scribe,1,unit.void_caller,Void Caller,150,0.4567,3.67,11.29,no
unit.scrap_sentry,Scrap Sentry,1,unit.gear_artificer,Gear Artificer,150,0.4867,4.67,11.30,no
unit.scrap_sentry,Scrap Sentry,1,unit.iron_bulwark,Iron Bulwark,150,0.5333,4.67,11.30,no
unit.sigil_adept,Sigil Adept,2,unit.archon_of_ash,Archon of Ash,150,0.6867,4.67,10.68,no
unit.sigil_adept,Sigil Adept,2,unit.sovereign_engine,Sovereign Engine,150,0.6400,4.67,10.68,no
unit.spark_imp,Spark Imp,1,unit.ember_magus,Ember Magus,150,0.4867,7.33,11.27,no
unit.spark_imp,Spark Imp,1,unit.sigil_adept,Sigil Adept,150,0.5600,7.33,11.27,no
unit.thornling,Thornling,1,unit.bramble_stalker,Bramble Stalker,150,0.4400,10.00,11.26,yes
unit.thornling,Thornling,1,unit.moss_warden,Moss Warden,150,0.5400,10.00,11.26,yes
unit.void_caller,Void Caller,2,unit.archon_of_ash,Archon of Ash,150,0.6467,13.33,11.07,yes
unit.void_caller,Void Caller,2,unit.void_sovereign,Void Sovereign,150,0.5133,13.33,11.07,yes
