unit_id,name,tier,tags,presence,win_rate,instances,death_rate,avg_survival_ticks,avg_damage_dealt,avg_damage_taken,vs_tier_mean_pp
unit.archon_of_ash,Archon of Ash,3,Arcane,791,0.7661,831,0.3646,256.4,518.4,158.2,11.82
unit.lich_regent,Lich Regent,3,Undead|Arcane,805,0.7280,849,0.4358,309.8,272.8,181.4,8.00
unit.verdant_colossus,Verdant Colossus,3,Beast,765,0.6876,805,0.3366,561.8,188.3,622.5,3.97
unit.void_sovereign,Void Sovereign,3,Arcane,811,0.6547,870,0.5000,280.6,401.5,174.1,0.68
unit.bone_leviathan,Bone Leviathan,3,Undead,815,0.6411,856,0.5421,433.0,280.2,445.1,-0.68
unit.titan_of_the_forge,Titan of the Forge,3,Steel,848,0.6309,892,0.4507,516.4,207.5,584.0,-1.70
unit.sovereign_engine,Sovereign Engine,3,Steel|Arcane,794,0.6033,844,0.5225,379.8,275.1,295.6,-4.47
unit.ember_magus,Ember Magus,2,Arcane,822,0.5967,883,0.5629,217.4,348.1,96.8,13.14
unit.void_caller,Void Caller,2,Arcane,841,0.5636,885,0.5955,231.5,305.7,89.8,9.83
unit.primal_avatar,Primal Avatar,3,Beast,778,0.5495,820,0.6305,330.0,224.4,271.4,-9.84
unit.moss_warden,Moss Warden,2,Beast|Undead,781,0.5384,834,0.6043,387.5,114.2,296.5,7.31
unit.crypt_weaver,Crypt Weaver,2,Undead|Arcane,823,0.5122,867,0.6597,253.8,233.7,122.5,4.68
unit.sigil_adept,Sigil Adept,2,Arcane|Steel,785,0.4777,831,0.6919,311.8,170.9,183.2,1.23
unit.gear_artificer,Gear Artificer,2,Steel|Beast,827,0.4752,870,0.7023,311.3,182.0,176.8,0.99
unit.bone_acolyte,Bone Acolyte,1,Undead,793,0.4710,832,0.7476,234.5,147.0,66.5,11.74
unit.iron_bulwark,Iron Bulwark,2,Steel,753,0.4555,790,0.7089,389.9,95.8,304.4,-0.99
unit.spark_imp,Spark Imp,1,Arcane,828,0.4529,873,0.7113,206.5,188.5,58.1,9.93
unit.plague_hound,Plague Hound,2,Undead,783,0.4489,830,0.7807,221.9,202.9,123.5,-1.64
unit.rune_scribe,Rune Scribe,1,Arcane,844,0.4473,891,0.7250,281.2,147.8,75.4,9.37
unit.blade_dancer,Blade Dancer,2,Steel,819,0.4328,859,0.7625,248.8,170.0,139.4,-3.25
unit.rot_knight,Rot Knight,2,Undead,829,0.4216,871,0.7658,298.3,119.8,224.7,-4.38
unit.bramble_stalker,Bramble Stalker,2,Beast,806,0.4181,846,0.7778,265.3,148.8,165.3,-4.72
unit.alpha_howler,Alpha Howler,2,Beast,802,0.4021,851,0.8038,227.7,126.0,146.7,-6.32
unit.thornling,Thornling,1,Beast,818,0.3667,858,0.8566,215.1,84.0,111.6,1.31
unit.scrap_sentry,Scrap Sentry,1,Steel,912,0.3405,967,0.8656,240.9,50.9,156.5,-1.31
unit.grave_rat,Grave Rat,1,Undead,809,0.3356,858,0.8834,172.9,73.5,65.3,-1.80
unit.dire_pup,Dire Pup,1,Beast,815,0.3325,864,0.8576,196.7,74.9,83.5,-2.11
unit.forge_apprentice,Forge Apprentice,1,Steel,825,0.3267,873,0.8797,218.8,72.5,105.2,-2.69
